record_id,evidence_date,evidence_date_descriptive,large_area,small_area,scientific_name,common_name,id_quality,evidence_type,collision_evidence,strike_result,other_info,vessel_type,scientific_name_clean,species_status,species_analysis_name,id_quality_clean,analysis_confidence,evidence_type_clean,evidence_context,strike_result_clean,outcome_known,fatal_outcome,fatal_label,vessel_type_clean,vessel_category,large_area_clean,ocean_basin,date_description_clean,date_precision,year_start,year_end,analysis_year,year_source,analysis_decade,include_species_frequency,include_species_fatality,include_confirmed_species,include_vessel_outcome,include_region_outcome
226,1995-06-17T00:00:00Z,NA,Atlantic Ocean - North Sea,"Shearness Harbour, Kent, UK",Balaenoptera physalus,fin whale,Confirmed,Collision,whale found wrapped around bow in harbour,Death,"Jensen and Silber 2003. Fin whale on bow of container ship in Kent, UK, June 1995.",Container ship,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Container ship,Cargo or tanker,Atlantic Ocean - North Sea,Atlantic Ocean,NA,Exact date,1995,1995,1995,Exact date,1990s,TRUE,TRUE,TRUE,TRUE,TRUE
227,NA,1994,Pacific Ocean - South,"Hauraki Gulf, New Zealand",Balaenoptera borealis,sei whale,Confirmed,Collision,ship entered Auckland harbour with whale on bow,Death,Jensen and Silber 2003. Sei whale on bow of container ship in Auckland harbour in 1994,Container ship,Balaenoptera borealis,Identified to species,Balaenoptera borealis,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Container ship,Cargo or tanker,Pacific Ocean - South,Pacific Ocean,1994,Descriptive year,1994,1994,1994,Descriptive date,1990s,TRUE,TRUE,TRUE,TRUE,TRUE
228,1992-05-15T00:00:00Z,NA,Pacific Ocean - Tasman Sea,"Bass Strait, Australia",Balaenoptera omurai,Omura’s whale,Confirmed,Collision,"whale found drapped around hull upon entering harbour, necropsy indicated whale alive when hit",Death,Jensen and Silber 2003. Bryde's whale draped around hull of bulbous bow container ship in Australia in May 1992. Whale estimated 12 m,Container ship,Balaenoptera omurai,Identified to species,Balaenoptera omurai,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Container ship,Cargo or tanker,Pacific Ocean - Tasman Sea,Pacific Ocean,NA,Exact date,1992,1992,1992,Exact date,1990s,TRUE,TRUE,TRUE,TRUE,TRUE
229,2007-08-01T00:00:00Z,NA,Pacific Ocean - Coral Sea,"Hook Island, east of Airlie Beach, North Queensland, Coral Sea, Australia",NA,Unidentified large whale,Unconfirmed,Collision,"The whale surfaced on the yatch's bow. "" the yacht didn't hit the whale, the whale surfaced and hit the yacht - it is very, very unusual,""",Not known,"Yacht damaged after collision with whale, Hook Island, Australia. ABC News (August 1, 2003)",Not known,NA,Missing scientific name,NA,Unconfirmed,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - Coral Sea,Pacific Ocean,NA,Exact date,2007,2007,2007,Exact date,2000s,FALSE,FALSE,FALSE,FALSE,FALSE
230,2007-01-09T00:00:00Z,NA,Pacific Ocean - Tasman Sea,"off 80 nm off Raglan on the west coast of the North Island, New Zealand",Megaptera novaeangliae,humpback whale,Unconfirmed,Collision,"The incident happened in bad weather about 80 nautical miles off Raglan on the west coast of the North Island. One of the larger males dived under the boat and struck it with its tail, opening a metre square hole in the hull.",Not known,"Sailor rescued after humpback whale sinks yacht - New Zealand, ABC News, Jan 10, 2007. Tentative location and date. Record taken from: http://www.abc.net.au/news/stories/2007/01/10/1824280.htm",Not known,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Unconfirmed,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - Tasman Sea,Pacific Ocean,NA,Exact date,2007,2007,2007,Exact date,2000s,TRUE,FALSE,FALSE,FALSE,FALSE
231,2005-07-03T00:00:00Z,NA,Pacific Ocean - North,"San Juan Island, Washington, US West Coast",Orcinus orca,killer whale,Confirmed,Collision,"""an orca whale was injured in an accident with a whale watching boat in the San Juan Islands of Washington state"".",Not known,"Killer whale injured by whale-watching vessel, Washington, USA. ENS (2005). Tentative location. Taken from: http://findarticles.com/p/articles/mi_kmens/is_200508/ai_n14878229",Not known,Orcinus orca,Identified to species,Orcinus orca,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2005,2005,2005,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
232,2006-09-23T00:00:00Z,NA,Atlantic Ocean - North,"Off Delaware, US East Coast",Megaptera novaeangliae,humpback whale,Confirmed,Collision,"Authorities can't be sure, but Robert Schoelkopf, said the young stranded whale's injuries and estimated time of death seem to coincide with the time the fishermen say they hit the object",Death,"Humpback whale stranded after struck and sunk by a sport-fishing vessel, New Jersey, USA. AP (2006). Specimen on Shore and Incident at Sea forms. Very probably the same individual for both records. No exact location indicated. Taken from http://www.underw",Motor yacht (<25m),Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Motor yacht (<25m),Recreational or small craft,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,2006,2006,2006,Exact date,2000s,TRUE,TRUE,TRUE,TRUE,TRUE
233,2007-04-12T00:00:00Z,NA,Pacific Ocean - Sea of Japan/East Sea,"22 Km SE Busan, South Korea",NA,Unidentified large whale,NA,Collision,"""We suppose it was a whale, judging from the fact that the water around the ship turned scarlet, apparently from whale blood,""",Death,"One dead, 27 injured in whale collision with ferry, South Korea. Tentative location. Taken from: http://www.news.com.au/story/0,23599,21550369-1702,00.html",Not known,NA,Missing scientific name,NA,Missing,Not confirmed or missing,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Pacific Ocean - Sea of Japan/East Sea,Pacific Ocean,NA,Exact date,2007,2007,2007,Exact date,2000s,FALSE,FALSE,FALSE,FALSE,TRUE
234,NA,February 1992,Atlantic Ocean - North,Canary Islands,Physeter macrocephalus,sperm whale,Confirmed,Collision,NA,Death,Jensen and Silber 2003. Sperm whale killed by high-speed ferry around Canary Islands. Collision resulted in death of 1 passenger.,Ferry,Physeter macrocephalus,Identified to species,Physeter macrocephalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Ferry,Passenger or ferry,Atlantic Ocean - North,Atlantic Ocean,february 1992,Descriptive year,1992,1992,1992,Descriptive date,1990s,TRUE,TRUE,TRUE,TRUE,TRUE
235,2002-11-03T00:00:00Z,NA,Pacific Ocean - South,"Tasmania, Tasman Peninsula",Eubalaena australis,southern right whale,Confirmed,Collision,whale lifted/rolled the boat,Indeterminate visible injury,"Fishing charter operator reported whale strike to his vessel from below that lifted/rolled the boat. Collision stalled the boat, broke the props and the bottom of the boat. Near Tasman Peninsula Source: Gill Slocum and Phillip Tracey, Gov. Australia",Not known,Eubalaena australis,Identified to species,Eubalaena australis,Confirmed,Confirmed identification,Collision,Reported collision,Indeterminate injury,TRUE,0,Non-fatal known outcome,Unknown,Unknown,Pacific Ocean - South,Pacific Ocean,NA,Exact date,2002,2002,2002,Exact date,2000s,TRUE,TRUE,TRUE,FALSE,TRUE
236,2002-08-31T00:00:00Z,NA,Pacific Ocean - South,"Tasmania, Prosser Bay-Orford (Shelly Point)",Eubalaena australis,southern right whale,Confirmed,Collision,collision left skin samples on the vessel,Indeterminate visible injury,"Whales were sighted at Prosser Bay between 4-5 pm. Whales approached a boat and when the outboard was started were startled and accidentally came into contact. Gill Slocum and Phillip Tracey, Gov. Australia",Not known,Eubalaena australis,Identified to species,Eubalaena australis,Confirmed,Confirmed identification,Collision,Reported collision,Indeterminate injury,TRUE,0,Non-fatal known outcome,Unknown,Unknown,Pacific Ocean - South,Pacific Ocean,NA,Exact date,2002,2002,2002,Exact date,2000s,TRUE,TRUE,TRUE,FALSE,TRUE
237,NA,August 2001,Pacific Ocean - South,"near La Plata Island, Ecuador",Megaptera novaeangliae,humpback whale,Confirmed,Collision,direct observation from fishing boat,Not known,"Whale was larger than 30 ft fishing boat. 200-300m offshore at Cremorne, South Arm Peninsula. Boat hit whale which was not seen until collision. Open fishing boat",Open fishing boat,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Open fishing boat,Fishing or whaling,Pacific Ocean - South,Pacific Ocean,august 2001,Descriptive year,2001,2001,2001,Descriptive date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
238,1958-12-31T00:00:00Z,NA,Pacific Ocean - South,"Tasmania, Frederick Henry Bay-Slopen Island; ca 1nm off Cremorne",NA,Unidentified large whale,Indeterminate,Collision,boat was completely lifted out of the water,Not known,"A whale struck a dinghy with three fishermen. They were positive that it was a whale, described as 'grey'. Gill Slocum and Phillip Tracey, Gov. Australia",Not known,NA,Missing scientific name,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - South,Pacific Ocean,NA,Exact date,1958,1958,1958,Exact date,1950s,FALSE,FALSE,FALSE,FALSE,FALSE
239,NA,September 2002,Pacific Ocean - North,"Morro Bay, California, US West Coast",NA,Unidentified large whale,Unconfirmed,Collision,An unidentified large whale has made a jump out of the water and has landed over a boat crashing the pilot house and throwing the fisherman into the water.,Not known,"Whale kills fisherman, California, USA.Tentative location",Fishing vessel,NA,Missing scientific name,NA,Unconfirmed,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Fishing vessel,Fishing or whaling,Pacific Ocean - North,Pacific Ocean,september 2002,Descriptive year,2002,2002,2002,Descriptive date,2000s,FALSE,FALSE,FALSE,FALSE,FALSE
240,2005-02-28T00:00:00Z,NA,Atlantic Ocean - South,Off Argentina,Orcinus orca,killer whale,Unconfirmed,Collision,"boat hit a big sea creature, initially with the port daggerboard, then with the rudder",Not known,"Catamaran hits a killer whale twice during world tour racing, off Argentina. Tentative location. Dorsal fin observed after collision. GMT time",Motor yacht (unknwon size),Orcinus orca,Identified to species,Orcinus orca,Unconfirmed,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Motor yacht (unknown size),Recreational or small craft,Atlantic Ocean - South,Atlantic Ocean,NA,Exact date,2005,2005,2005,Exact date,2000s,TRUE,FALSE,FALSE,FALSE,FALSE
241,2006-03-10T00:00:00Z,NA,Pacific Ocean - North,"Nookta Sound near Gold River, British Columbia, Canada west coast",Orcinus orca,killer whale,Confirmed,Collision,"The vessel took refuge from stormy conditions in the sheltered waters of Nootka Sound, where a whale swimming near the vessel was killed by the propeller.",Death,"Killer whale Luna killed by tugboat's propeller, British Columbia, Canada. Fisheries and Oceans Canada (2006).The whale is believed to be L98, or Luna, a male orca who had taken up residence in the area near Gold River for about five years and developed a",Not known,Orcinus orca,Identified to species,Orcinus orca,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2006,2006,2006,Exact date,2000s,TRUE,TRUE,TRUE,FALSE,TRUE
242,NA,March 2006,Pacific Ocean - Sea of Japan/East Sea,"Tsushima Strait, Japan",NA,Unidentified large whale,Indeterminate,Collision,"A local marine accident inquiry was carried out in Kitakyushu, Japan, respect to this incident. No other indication available",Not known,"Hydrofoil hits unidentified whale, Japan. Tentative location. Exact date not indicated",High-speed Ferry,NA,Missing scientific name,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,High-speed ferry,Passenger or ferry,Pacific Ocean - Sea of Japan/East Sea,Pacific Ocean,march 2006,Descriptive year,2006,2006,2006,Descriptive date,2000s,FALSE,FALSE,FALSE,FALSE,FALSE
243,2005-02-15T00:00:00Z,"February 2, 2005",Atlantic Ocean - South,"Table Bay, South Africa",NA,Unidentified large whale,Indeterminate,Collision,Unidentified whale suddenly struck the boat,Not known,"Sailing competition vessel struck a whale, South Africa (T Systems, 2005).Tentative location. Probably a Southern Right Whale, as can be deduced from the area.",Sailing vessel,NA,Missing scientific name,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Sailing vessel,Recreational or small craft,Atlantic Ocean - South,Atlantic Ocean,"february 2, 2005",Exact date,2005,2005,2005,Exact date,2000s,FALSE,FALSE,FALSE,FALSE,FALSE
244,NA,August 2003,Pacific Ocean - Coral Sea,"Near Magnetic Island, off Townsville, Queensland, Australia",Megaptera novaeangliae,humpback whale,Confirmed,Collision,"The collision holed the trimaran and tore off the boat’s drop-down rudder, which was feared to have lodged in mammal’s back.",Apparently minor external injury,"Albino humpback whale struck by vessel, Australia Albino whale named ""Bigaloo"". Subsequent sightings indicate no serious injuries. Exact date not indicated",Sailing vessel (<25m),Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Minor injury,TRUE,0,Non-fatal known outcome,Sailing vessel (<25m),Recreational or small craft,Pacific Ocean - Coral Sea,Pacific Ocean,august 2003,Descriptive year,2003,2003,2003,Descriptive date,2000s,TRUE,TRUE,TRUE,TRUE,TRUE
245,NA,2001,Pacific Ocean - Coral Sea,"Whitsunday Island, Queensland, Australia",Unidentified cetacean,NA,Indeterminate,Collision,struck and presumed injured by a 15 metre personal watercraft,Not known,"Unidentified whale struck by boat, Whitsunday Island, Australia. Tentative location. Date not indicated. Field Number W1237, Research Coordination Unit, Parks and Wildlife Strategy Division, Queensland Parks and Wildlife Service",Motor yacht (<25m),Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Motor yacht (<25m),Recreational or small craft,Pacific Ocean - Coral Sea,Pacific Ocean,2001,Descriptive year,2001,2001,2001,Descriptive date,2000s,FALSE,FALSE,FALSE,FALSE,FALSE
246,NA,2000,Pacific Ocean - Coral Sea,"Magnetic Island, Queensland, Australia",NA,Unidentified small cetacean,Indeterminate,Collision,struck and presumed injured by a jet ski.,Not known,"Dolphin struck by jet ski, Magnetic Island, Australia. Tentative location. Date not indicated. Field number W1225, Research Coordination Unit, Parks and Wildlife Strategy Division, Queensland Parks and Wildlife Service",Motor yacht (<25m),NA,Missing scientific name,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Motor yacht (<25m),Recreational or small craft,Pacific Ocean - Coral Sea,Pacific Ocean,2000,Descriptive year,2000,2000,2000,Descriptive date,2000s,FALSE,FALSE,FALSE,FALSE,FALSE
247,2004-08-05T00:00:00Z,NA,Pacific Ocean - North,"Port Douglas, 2.5nm SSW Undine, Queensland, Australia",Megaptera novaeangliae,humpback whale,Confirmed,Collision,"""hit but swam away: injuries? """,Not known,"Hit but swam away (injuries?). ""Stranded"" no info. Strandings Database Queensland. Gill Slocum and Phillip Tracey, Gov. Australia",Not known,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2004,2004,2004,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
248,2001-07-21T00:00:00Z,NA,Indian Ocean,"off Cape Jervis, South Australia",Eubalaena australis,southern right whale,Confirmed,Collision,hit probably killed by passenger ferry animal found dead 1.5 days later,Death,"""Hit (probably killed) by passenger ferry""",Not known,Eubalaena australis,Identified to species,Eubalaena australis,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Indian Ocean,Indian Ocean,NA,Exact date,2001,2001,2001,Exact date,2000s,TRUE,TRUE,TRUE,FALSE,TRUE
249,NA,"December, 2003",Pacific Ocean - North,"Diamond head, Oahu, Hawaii",Megaptera novaeangliae,humpback whale,Confirmed,Collision,Vessel hit whale,Not known,"Humpback whale hit by whale-watching vessel, Hawaii. Adult whale",Whale whatching vessel,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Whale-watching vessel,Research or whale-watching,Pacific Ocean - North,Pacific Ocean,"december, 2003",Descriptive year,2003,2003,2003,Descriptive date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
250,2004-01-05T00:00:00Z,NA,Pacific Ocean - North,"Kahulu, Maui, Hawaii",Megaptera novaeangliae,humpback whale,Confirmed,Collision,whale hir vessel,Not known,"Humpback whale hit by vessel, Hawaii. Tentative location",Not known,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2004,2004,2004,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
251,2004-02-08T00:00:00Z,NA,Pacific Ocean - North,"Puamana, Maui, Hawaii",Megaptera novaeangliae,humpback whale,NA,Collision,Vessel hit a whale,Not known,"Humpback whale calf hit by vessel, Hawaii, USA.Tentative location, no other information",Not known,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Missing,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2004,2004,2004,Exact date,2000s,TRUE,FALSE,FALSE,FALSE,FALSE
252,2005-02-06T00:00:00Z,NA,Pacific Ocean - North,"Kamaji Point, Lanai, Hawaii",Megaptera novaeangliae,humpback whale,Confirmed,Collision,Vessel hit whale,Not known,"Humpback whale mother-calf pair hit by ferry, Hawaii. Tentative location, no more information",Not known,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2005,2005,2005,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
253,NA,"January 2 or 4, 2006",Pacific Ocean - North,"12 nm off Lahaina, Maui, Hawaii",Megaptera novaeangliae,humpback whale,Confirmed,Collision,"""Vessel hit whale"" No more indications",Not known,"Humpback whale hit by vessel, Hawaii, USA. Tentative location",Not known,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - North,Pacific Ocean,"january 2 or 4, 2006",Descriptive year,2006,2006,2006,Descriptive date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
254,2006-01-17T00:00:00Z,NA,Pacific Ocean - North,"15 mi. From Kini kini Point, Kauai, Hawaii",Megaptera novaeangliae,humpback whale,Confirmed,Collision,NA,Not known,"Humpback whale hit by whale-watching vessel, Hawaii, USA. Geographic position not found. No more information",Whale whatching vessel,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Whale-watching vessel,Research or whale-watching,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2006,2006,2006,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
255,2006-02-13T00:00:00Z,NA,Pacific Ocean - North,"Maalaea, Maui, Hawaii",Megaptera novaeangliae,humpback whale,Confirmed,Collision,"""vessel hit whale""",Not known,"Humpback whale hit by rigid inflatable boat, Hawaii, USA. Speed less than 10 knots",Rigid inflatable/inflatable,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Rigid inflatable/inflatable,Recreational or small craft,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2006,2006,2006,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
256,NA,April? 2006,Pacific Ocean - North,"Laniupoko, Maui, Hawaii",Megaptera novaeangliae,humpback whale,Confirmed,Collision,"""Vessel hit whale""",Not known,"Humpback whale calf hit by whale-watching inflatable boat, Hawaii, USA. Speed not available. Location not achieved",Whale watching vessel,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Whale-watching vessel,Research or whale-watching,Pacific Ocean - North,Pacific Ocean,april? 2006,Descriptive year,2006,2006,2006,Descriptive date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
257,2002-10-03T00:00:00Z,NA,Indian Ocean,"Exmouth Gulf, Western Australia",Megaptera novaeangliae,humpback whale,Confirmed,Collision,direct observation,Not known,Direct observation. Fate of whale unknown. Source: Gill Slocum and Phillip Tracey (Gov. Australia),Not known,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Indian Ocean,Indian Ocean,NA,Exact date,2002,2002,2002,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
258,1996-04-09T00:00:00Z,NA,Atlantic Ocean - North,off northern Gran Canaria Island,Physeter macrocephalus,sperm whale,Confirmed,Collision,Ferry collision,Death,"Mother/calf sperm whale pair collided by ferry, Canary Island.",Not known,Physeter macrocephalus,Identified to species,Physeter macrocephalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,1996,1996,1996,Exact date,1990s,TRUE,TRUE,TRUE,FALSE,TRUE
259,1999-05-03T00:00:00Z,NA,Atlantic Ocean - North,Gran Canaria Island,Unidentified baleanopterid whale,Unidentified balaenopterid whale,Unconfirmed,Collision,Collision observed by fisherman,Not known,"Balaenopterid whale collision with ship, Canary Islands",Not known,Unidentified balaenopterid whale,Unidentified cetacean,NA,Unconfirmed,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,1999,1999,1999,Exact date,1990s,FALSE,FALSE,FALSE,FALSE,FALSE
260,1999-07-10T00:00:00Z,NA,Atlantic Ocean - North,"Tenerife Island, Canary Islands",Globicephala macrorhynchus,short-finned pilot whale,Unconfirmed,Collision,Collision observed from ferry. Much blood,Death,"Likely a pilot whale hit by ferry, Canary Islands. No more information",Not known,Globicephala macrorhynchus,Identified to species,Globicephala macrorhynchus,Unconfirmed,Not confirmed or missing,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,1999,1999,1999,Exact date,1990s,TRUE,TRUE,FALSE,FALSE,TRUE
261,2002-02-08T00:00:00Z,NA,Atlantic Ocean - North,"Cape Heny, Virginia, East coast USA",Megaptera novaeangliae,humpback whale,Confirmed,Collision,NA,Death,"Jensen and Silber 2003. Humpback, mortality, USA East coast 2002.",Not known,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,2002,2002,2002,Exact date,2000s,TRUE,TRUE,TRUE,FALSE,TRUE
262,2001-10-04T00:00:00Z,NA,Atlantic Ocean - North,"5nm NW of Stellwagen Bank, Massachusetts, East coast USA",Megaptera novaeangliae,humpback whale,Confirmed,Collision,"animal came up undr keel of vessel, abrasion 1.5 ft long by 1 in wide sen anterior to dorsal fin",Indeterminate visible injury,"Jensen and Silber 2003. Humpback, injured by whale-watching vessel, east coast USA, 2002.",NA,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Indeterminate injury,TRUE,0,Non-fatal known outcome,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,2001,2001,2001,Exact date,2000s,TRUE,TRUE,TRUE,FALSE,TRUE
263,2001-06-29T00:00:00Z,NA,Atlantic Ocean - North,"30nm southeast of Cape Cod, inbound Boston traffic lane, East coast USA",NA,Unidentified small whale,Indeterminate,Collision,"Crew heard impact and felt shudder, gray and white whale observed lodged on the bow, whale sank after ship backed up",Death,"Jensen and Silber 2003. Unidentified small whale (sei or minke) killed by navy boat, on bow in 2001, East coast USA. Whale estimated 7.6 m long",Naval vessel,NA,Missing scientific name,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Death,TRUE,1,Fatal,Naval vessel,Government or naval,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,2001,2001,2001,Exact date,2000s,FALSE,FALSE,FALSE,TRUE,TRUE
264,2001-03-17T00:00:00Z,NA,Atlantic Ocean - North,"Assateague Is, Virginia, East coast USA",Eubalaena glacialis,North Atlantic right whale,Confirmed,Collision,NA,Death,Jensen and Silber 2003. Right whale killed around Assateague Island in 2001.,Not known,Eubalaena glacialis,Identified to species,Eubalaena glacialis,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,2001,2001,2001,Exact date,2000s,TRUE,TRUE,TRUE,FALSE,TRUE
265,2001-02-01T00:00:00Z,February 2001,Atlantic Ocean - North,"Port Elizabeth, New Jersey, East coast USA",Balaenoptera physalus,fin whale,Confirmed,Collision,NA,Death,"Jensen and Silber 2003. Fin whale killed close to Port Elisabeth, New Jersey in 2001.",Not known,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,february 2001,Exact date,2001,2001,2001,Exact date,2000s,TRUE,TRUE,TRUE,FALSE,TRUE
266,1998-12-12T00:00:00Z,NA,Atlantic Ocean - North,"Cape Cod, Massachusetts, East coast USA",Balaenoptera acutorostrata,Common minke whale,Confirmed,Collision,body of whale seen in the wake of whale watching vessel,Severe external visible injury,"Jensen and Silber 2003. Minke injured by whale-watching vessel, Cape Cod, Massachusetts, 1998.",Whale watching vessel,Balaenoptera acutorostrata,Identified to species,Balaenoptera acutorostrata,Confirmed,Confirmed identification,Collision,Reported collision,Severe injury,TRUE,0,Non-fatal known outcome,Whale-watching vessel,Research or whale-watching,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,1998,1998,1998,Exact date,1990s,TRUE,TRUE,TRUE,TRUE,TRUE
267,1998-09-12T00:00:00Z,NA,Atlantic Ocean - North,"Barnstable, Massachusetts, East coast USA",Balaenoptera acutorostrata,Common minke whale,Confirmed,Collision,"whale swum under bow, impact felt, surfaced w/deep, bleeding gash, carcass sighted immediately afterwards",Death,Jensen and Silber 1993. Minke whale killed by a whale-watching vessel in 1998.,Whale watching vessel,Balaenoptera acutorostrata,Identified to species,Balaenoptera acutorostrata,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Whale-watching vessel,Research or whale-watching,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,1998,1998,1998,Exact date,1990s,TRUE,TRUE,TRUE,TRUE,TRUE
